emis	Tp	I_refl	L_1	T_1	x_co2_1	x_co_1	x_h2o_1	x_soot_1	p_1	L_2	T_2	x_co2_2	x_co_2	x_h2o_2	x_soot_2	p_2	L_3	T_3	x_co2_3	x_co_3	x_h2o_3	x_soot_3	p_3	L_4	T_4	x_co2_4	x_co_4	x_h2o_4	x_soot_4	p_4	L_5	T_5	x_co2_5	x_co_5	x_h2o_5	x_soot_5	p_5	
0.25	399.9018625095323	0.0	1.0	2212.9502167735154	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1880.0528981116645	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2280.655007559759	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2806.9088854602787	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1339.1863381055368	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	2764.0857288312377	0.0	1.0	1947.6975180093577	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2393.471022189423	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2570.230330036191	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2818.9112492058684	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	751.6023862176037	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	2424.495686723681	0.0	1.0	2274.975410995715	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2911.870048648652	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2361.4253615028997	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	624.8102219025488	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2576.410932920119	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1670.984830338537	0.0	1.0	843.7309604086851	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2623.9057837550617	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1401.1846699299165	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2063.440791087956	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2317.7871910389053	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1699.9336813103573	0.0	1.0	2343.96605606988	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1098.7965788405008	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1035.722295928574	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2070.5637528860507	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1193.5148006269997	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1076.5347225402932	0.0	1.0	1344.6764180952848	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2369.715907492879	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2298.612050968276	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1582.8692095536835	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	755.2530340343776	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1034.6427789868078	0.0	1.0	428.78571116651153	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	587.995790765138	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	563.4004222364499	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1791.8923976090275	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1340.0912899994535	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1824.3248974058124	0.0	1.0	828.369266108034	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1105.9105688645955	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1302.7183515446736	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2828.261819752912	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1133.6344875528475	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1683.1342239221274	0.0	1.0	730.4252155598067	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	592.1838970781005	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1822.3877542218254	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1511.4514952901834	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2264.416038508519	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1830.5493310395518	0.0	1.0	555.7823508541014	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	359.61179676358506	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	993.979807792857	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	611.3138108938101	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2141.1626287668005	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	2217.003768293458	0.0	1.0	575.2703707880037	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1196.1613920046855	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2493.665422089386	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2637.394728110014	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1570.7535036261313	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1294.335960872933	0.0	1.0	2984.679344155756	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1629.1025494779444	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2680.7269259039417	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	605.3867622835903	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2691.094706527076	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	541.4914660623281	0.0	1.0	2885.6058082131285	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	925.7153912323747	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	309.1038669306368	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2705.146693375993	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1717.7466773795893	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1707.9475081591731	0.0	1.0	2164.6007062180997	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2700.691693891685	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	662.4406224391422	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	562.3373508351642	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1761.1170781204958	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	1280.263177672242	0.0	1.0	2077.5365419206755	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2072.632121965277	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	611.9760452422272	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1543.9368539025522	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2746.642224827241	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	2960.034124268682	0.0	1.0	818.3481757265702	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2751.124934227401	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2937.4374256941765	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1207.4280537451805	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2360.2826095347887	0.182159618	0.0001	0.194000006	0.0	1.0	
0.25	2990.746519866992	0.0	1.0	1277.9122411029998	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	706.1905983722784	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	2907.618770607283	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1602.423572240799	0.182159618	0.0001	0.194000006	0.0	1.0	1.0	1546.8551014522488	0.182159618	0.0001	0.194000006	0.0	1.0	
