In_0	In_1	In_2	In_3	In_4	In_5	
114.81370223127583	108226.25988653833	115599.01936386299	160812.73470181876	236505.87489291816	188335.30417445328	
193323.18764332196	337331.0047944176	391403.1951561766	436771.12882604747	489805.844488815	411089.55755164044	
127239.76483858592	281799.2581323762	383170.44062637986	383741.2756035298	309998.4739285759	364369.6517157909	
33816.16271679487	46646.534699898824	181675.93535279864	143065.91840401944	169316.9867071361	204300.05590563847	
36080.82228762673	166486.17851842998	117132.53331081857	103739.47504467449	144269.23282688318	126174.4832735269	
6049.71226526793	32755.647708206667	126650.68953607719	163746.039794644	141504.43509744905	114472.47013467681	
5163.937819025099	6060.903089188687	6257.958354255577	6115.159884183069	51755.642251441524	47591.45949763593	
46953.64202195933	63669.141096827065	66978.20954762588	74152.39712677516	208301.7614356438	170312.0236112677	
34754.65909498188	45870.6770026918	42280.8286995289	89297.69529116568	89117.40908835916	144188.37526589894	
47547.48449756313	60900.94096238019	56444.35432878186	58856.08018163639	55476.03928629057	124240.46938016679	
94151.28446612055	124016.53951738693	128351.36304329333	231964.27386635338	291558.5890533232	259314.2180562857	
12569.025155429692	216176.6247010473	162011.48312693968	241898.9997521851	181008.53143331912	248670.73652849157	
387.1048602081498	189588.65959333663	114112.2787950023	94834.98061864589	190448.57666991072	170853.37864615925	
36725.15348803568	146274.95213699128	236947.13228420145	166146.66758697515	148663.47753597403	155498.88951989164	
12038.405264347284	105502.58741794513	135686.47473008514	92141.70649824619	95844.30185610213	187568.4954547755	
237861.62459685546	328155.37851174024	459935.19688113825	534089.8773463387	466248.5362277587	491526.0404998231	
245246.09479726185	355883.8057179444	328369.2254702699	472724.41533759324	432378.45378100075	413540.93501303386	
9328.290417566779	17543.903606680993	180893.94088293443	264397.2995097016	234254.06256086362	199806.10191498633	
4562.785770654411	160732.63635205696	202188.30243564866	134227.8341352733	156971.56147328057	200793.83379922976	
766.6354012395443	9632.16080984084	103569.15907255118	71377.00174864693	177472.32818230943	227375.05183688	
198618.3497323798	318068.00339885935	353855.9811619937	457431.3557790778	410936.254110372	366557.218870064	
134795.43072499344	190775.41436337202	268921.58711906086	221660.1319924642	210157.56387791852	327200.73725584877	
204570.90526783327	280304.0927447709	327579.1082200377	308592.0163112232	406115.5642872948	357397.0444569391	
9680.196441826169	12026.3900683606	126269.6607270372	157672.21024741247	149108.65544126512	143645.7804217232	
146730.1101109176	194305.5033572768	335806.15124262316	284146.2694373105	317537.2287747194	302152.874116421	
102410.89647700376	147576.75437357664	132639.08099649986	128615.84382960283	268042.99147526413	229835.39471816667	
13372.033890853258	36464.48388340523	126342.59011066367	94608.9256038445	77940.39375651456	181906.07383528896	
4824.740597069209	6654.612309893463	78422.04504225685	154510.14311684167	123527.97738526795	100489.04884283243	
20011.321203668747	69106.36007050925	106844.56971372875	75542.01591924303	186786.51756809457	167569.58744444264	
61.488529392709204	17860.553252435788	106613.5915255428	108029.59480632517	197422.36392361	149099.9287816955	
20032.194885418165	190888.05365974258	249943.81398955474	327010.92466887686	239489.6056980171	307768.44814137777	
74729.86223139732	146207.0278446165	267532.7166085472	324033.8676135132	259896.08301458566	235928.87768630587	
29481.78648788155	106431.8738148281	72339.67431626101	223531.98343444624	243136.47488683034	216086.36801221423	
723.8191131202724	16832.588606589088	134432.06280528952	99737.57558242627	92196.03940857308	139906.80846404826	
14087.265017539603	17657.89007723829	42322.34998162523	53645.16091352271	49458.14537932297	59356.53133949164	
177293.21531890516	238818.38148887557	236215.96076570303	258231.5466737736	248186.34756375797	236983.68540866236	
110531.82185876611	199902.5814574432	164579.6349410831	153512.65416719887	147134.01490495438	153337.96601104186	
13847.354016332496	17564.763942112993	34115.80307192928	125731.13245673651	96565.4063235135	84638.40519362065	
207279.9721885234	445315.9481012284	474949.4752055629	492156.31602907093	452604.27446949907	432008.39958579943	
52760.47137600148	242295.4870803269	232643.33868242553	173653.13401840747	187165.81505887397	174275.08606466564	
